PO Number;PO Date;Vendor;Vendor Description;Requester;PO Created By;Shopping Cart Number;Project;Project Description;WBS Element;WBS Element Description;Cost Center;Cost Center Description;PO Net Amount;Tax Amount;Total Amount Legal Entity Currency;PO Line Nr.;PO Status;PO Line Text;Delivery Date;Legal Entity Currency Code;Value in document currency;Document currency code;Investment Profile;Account Group (Cora Level 1);Account Sub Group (Cora Level 2);Account (Cora Level 3);Change Date;Purchase requisition;Procurement Plant;Contract #;Joint Commodity Code;PO Title;Version;FI Doc No
9110230738;2023-03-06;10119310;SMB INDUSTRIES GMBH;HILLMANB;EICHNERJ;;C.32.03370.672.0;;C.32.03370.672.043.101;ROHRLEITUNGSMATERIAL;3253510373;DOZB GEN. MFG COST 2;305041.79;0.00;305041.79;2;open;MONTAGEARBEITEN PROZESSVERROHRUNG NA01;2024-01-31;EUR;305041.79;EUR;capex;4;4.3;4.3.10-C;2023-08-25;;4511;;X20150500;CSSPP PROZESSVERROHRUNG;;61649110230738000002C3203370672043101
P001140910;2025-02-06;10110426;CONRAD ELECTRONIC SE;JUNGWIRI;JUNGWIRI;;C.32.03262.900.0;;C.32.03262.900.073.129;ALLG PROJEKTKOSTEN (WORKSHOPS MEETINGS);3251601601;PROJEKTE ALCM UND SCOPES;53.70;0.00;53.70;2;open;LINDY USB 2.0 ADAPTER DATA BLOCK WITH BATTERY CHARGING 1.2;2025-02-13;EUR;53.70;EUR;capex;7;7.3;7.3.12-O;2025-02-06;R101032447;4511;;X20100000;PO1 FOR USB ADAPTER;;6164P001140910000002C3203262900073129
2111033324;2020-12-17;10343045;BRAUNFORM GMBH;WEYMANNA;GEILINGM;1003614790;C.32.00056.001.0;;C.32.00056.001.035.101;ABFÜLL- UND VERSCHLIEßMASCHINE;3253100035;DOMM MANAGEMENT;6114.40;0.00;6114.40;3;open;20.000 X SNAPCAP (E TYPE);2021-02-17;EUR;6114.40;EUR;capex;0;0.0;0.0.00-C;2020-12-17;;4510;;X95150200;WEYMANNA 15.12.2020 14:05:05;;61642111033324000003C3200056001035101
6000733147;2020-05-14;10116327;ORISE GMBH;VOSST3;TRAUTMB2;;C.32.00056.001.0;;C.32.00056.001.062.191;IMSRMM EXT. ALLG. PLANUNGSLEISTUNG;3253100035;DOMM MANAGEMENT;57120.00;0.00;57120.00;10;open;PHASE/MEILENSTEIN 1 - PLANUNG (BD);2020-09-30;EUR;57120.00;EUR;capex;6;6.2;6.2.19-C;2020-05-14;3213269205;4510;;X20150401;;;61646000733147000010C3200056001062191
9110162648;2020-07-28;10109529;WILHELM KISSENDORFER OHG;FRIESS;KROLLV;1003476990;C.32.00056.001.0;;C.32.00056.001.035.911;VERSCHLIEßMASCHINE(UMBAU LINIE 16);3253100035;DOMM MANAGEMENT;11390.00;0.00;11390.00;1;open;KONTROLLEINHEIT;2020-08-04;EUR;11390.00;EUR;capex;0;0.0;0.0.00-C;2020-07-28;;4510;;X20100200;IMSRMM_FRIESS_FA. KISSENDORFER;;61649110162648000001C3200056001035911
9110169068;2020-11-02;10401850;KIESELMANN PHARMATEC GMBH;DOERLICM;KROLLV;;C.32.02892.380.0;;C.32.02892.380.035.151;MSLCM - CIP/SIP;3253100035;DOMM MANAGEMENT;0.00;0.00;0.00;7;open;CIP-SIP NT3 - TERMINÄNDERUNG;2022-02-09;EUR;0.00;EUR;capex;0;0.0;0.0.00-C;2021-08-19;;4510;;X20150401;MSLCM_DOERLICM_KIESELMANN;;61649110169068000007C3202892380035151
2111190698;2022-04-04;10112566;S.A.T. GMBH;HOENIGH;HOENIGH;1004039407;C.32.02892.380.0;;C.32.02892.380.025.151;MSLCM - KÜHLZELLE;3253100035;DOMM MANAGEMENT;114.27;0.00;114.27;1;open;GEWINDEBOLZEN M8X12;2022-04-19;EUR;114.27;EUR;capex;2;2.5;2.5.15-C;2022-04-04;;4510;;X20100200;HOENIGH 04.04.2022 13:59:36;;61642111190698000001C3202892380025151
9110191539;2021-08-13;10116600;WIEDENBAUER APPARATEBAU GMBH & CO.;SONNTAC1;EICHNERJ;1003829023;C.32.00708.741.1;;C.32.00708.741.134.111;VIALS FÜLLUNGSLINIE;3253100214;DOZ MANAGEMENT;3440.00;0.00;3440.00;1;open;RFLP ANSCHLUSSADAPTER;2021-09-03;EUR;3440.00;EUR;capex;3;3.4;3.4.11-C;2021-08-13;;4511;;X20100200;RFLP ANSCHLUSSADAPTER;;61649110191539000001C3200708741134111
6000584786;2019-05-29;10112199;MAYR EDELSTAHL- &;SONNTAC1;SPRUNGS;;C.32.00708.741.1;;C.32.00708.741.131.991;SONSTIGES;3253100214;DOZ MANAGEMENT;6982.30;0.00;6982.30;10;open;RFLP BEHÄLTERBÜHNE;2019-08-26;EUR;6982.30;EUR;capex;3;3.1;3.1.99-C;2019-05-29;3148528573;4511;;X15150107;;;61646000584786000010C3200708741131991
P001249535;2025-03-31;10125068;BEST FLUIDSYSTEME GMBH;JUELLYP;JUELLYP;;C.32.01265.291.0;;C.32.01265.291.028.991;RMIM AUSBAU SONSTIGES;3253100125;POC COMPOUNDING EQ;612.08;0.00;612.08;4;open;SS-12M0-F15M-40-C GEMÄß ANGEBOT 70059707;2025-04-11;EUR;612.08;EUR;capex;2;2.8;2.8.99-C;2025-03-31;R101105623;4510;;X20000000;PO1 FOR BEST SWAGELOK PROJEKT RMIM;;6164P001249535000004C3201265291028991
2110999767;2020-09-17;10001084;VWR INTERNATIONAL GMBH;HERETHJ;HERETHJ;1003522241;C.32.01236.761.0;;C.32.01236.761.036.101;LABORGERÄTE;3253100214;DOZ MANAGEMENT;1256.00;0.00;1256.00;1;open;STELLBODEN 8 STUFEN STELLFLACHE 110 X;2020-10-21;EUR;1256.00;EUR;capex;3;3.6;3.6.10-C;2020-09-17;;4511;;X15100102;HERETHJ 17.09.2020 10:44:46;;61642110999767000001C3201236761036101
P000603002;2024-02-07;10109798;TELENA FERNMELDE- UND DATEN-;SEYFFERJ;TRAUTMB2;;C.32.02835.360.0;;C.32.02835.360.021.219;MA 21 CONSTRUCTION OPEX;3253510400;DOM NMPA READIN PREP;628.15;0.00;628.15;1;open;BEHNKE ELEKTRONIK KOMPAKT (SIP ) GRÖßE 3;2024-03-08;EUR;628.15;EUR;capex;0;0.0;0.0.00-O;2024-02-07;R100494502;4510;;X20000000;PO1 FOR TELENA_AN2300040836(2)_J. SEYFFERLE;;6164P000603002000001C3202835360021219
9130045144;2021-09-21;10111109;ADRIAN GAIDA SCHREINEREI;MENSTELB;EMIRSEIS;1003860608;C.32.02835.470.5;;C.32.02835.470.528.101;B470 - 2OG - ANLAGEN CAPEX;3253510400;DOM NMPA READIN PREP;540.00;0.00;540.00;1;open;DEMONTAGE KÜCHENZEILE (2021090005);2021-10-29;EUR;540.00;EUR;capex;2;2.8;2.8.10-C;2021-09-21;;4510;6199100303;X20050802;MENSTELB NMPAM GAIDA;;61649130045144000001C3202835470528101
P001497374;2025-09-24;10117368;WILLI STOBER GMBH & CO KG;BUSBACHA;HILLMANB;;C.32.03887.441.0;;C.32.03887.441.028.101;TÜREN & ZARGEN;3253100214;DOZ MANAGEMENT;511.20;0.00;511.20;2;open;10114537 PROFILZYLINDER NR. 6531 MIT 3 SCHL. BL 35/40 MM S;2025-10-06;EUR;511.20;EUR;capex;2;2.8;2.8.10-C;2025-09-24;R101333626;4511;;X20000000;PO1 FOR ILSP ZYLINGER G 441 IKON-ANLAGE NR. 523954:;;6164P001497374000002C3203887441028101
9110232058;2023-04-04;10373911;AITP GMBH;HALMBURS;HILLMANB;;C.32.03867.900.0;;C.32.03867.900.062.181;EXTERN INFRA;3251100023;LEITUNG VER- U. ENTSORGUNG;345978.86;0.00;345978.86;7;open;IE25P 4. NT  NOTSTROMANLAGE CD-CO PHASE;2026-02-28;EUR;345978.86;EUR;capex;6;6.2;6.2.18-C;2024-07-12;;4511;;X20250302;IE25P-GENERALPLANUNG CD;;61649110232058000007C3203867900062181
9110207373;2022-02-17;10150057;HEUBERGER KAELTE KLIMA GMBH;HILLMANB;EICHNERJ;;C.32.02927.253.0;;C.32.02927.253.028.121;SCHLOSSERARBEITEN;3253510373;DOZB GEN. MFG COST 2;19500.00;0.00;19500.00;2;open;1. NT MEHRKOSTEN EXPRESSFERTIGUNG;2022-06-10;EUR;19500.00;EUR;capex;2;2.8;2.8.12-C;2023-08-25;;4511;;X20050500;CICDSP VAM ZELLWÄNDE AUßENTANKLAGER;;61649110207373000002C3202927253028121
2111266181;2023-01-13;10113074;REINHART SCHOCH GMBH;KNEIDINR;KNEIDINR;1004254925;C.32.03317.470.0;;C.32.03317.470.041.141;CKAP1M - ELEKTRO UND GEHÄUSE FÜR ABLUFT;3253100035;DOMM MANAGEMENT;12.32;0.00;12.32;1;open;VERBOTSSCHILD AUF BOGEN KEIN ZUTRITT FÜR;2023-01-16;EUR;12.32;EUR;capex;4;4.1;4.1.14-C;2023-01-13;;4510;;X30050200;KNEIDINR 13.01.2023 13:51:39;;61642111266181000001C3203317470041141
2111226443;2022-07-22;10120664;ALEXANDER BUERKLE GMBH + CO KG;BERNHAH1;BERNHAH1;1004133097;C.32.02550.470.0;;C.32.02550.470.062.111;CLM2M - DTGMT EXT. ENG. AUTOMATION;3253100035;DOMM MANAGEMENT;1050.18;0.00;1050.18;1;open;LUMBERG RKMV 3-224/10 M;2022-07-27;EUR;1050.18;EUR;capex;6;6.2;6.2.11-C;2022-07-22;;4510;;X20100200;CLM2M BÜRKLE LINK 22.07.2022;;61642111226443000001C3202550470062111
9130047221;2022-03-24;10108672;KEYENCE DEUTSCHLAND GMBH;BERNHAH1;BERNHAH1;1004029134;C.32.02319.470.1;;C.32.02319.470.135.161;HIPMOM_LAL HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;510.00;0.00;510.00;9;open;LICHTLEITER REFLEXIONSTYP FU-25;2022-03-28;EUR;510.00;EUR;capex;0;0.0;0.0.00-C;2022-03-25;;4510;6199100537;X20100200;HIP-MOM-CAL KEYENCE NAGEL 23.03.2022;;61649130047221000009C3202319470135161
2111117266;2021-09-01;10120664;ALEXANDER BUERKLE GMBH + CO KG;BERNHAH1;BERNHAH1;1003843020;C.32.02319.470.5;;C.32.02319.470.535.161;HIPMOM_CP HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;89.31;0.00;89.31;2;open;PULS QS3.241 DC NETZGERÄT 24V 80W 34A;2021-10-15;EUR;89.31;EUR;capex;0;0.0;0.0.00-C;2021-09-21;;4510;;X20100200;HIP-DIVERSE BÜRKLE RENDANT 01.09.2021;;61642111117266000002C3202319470535161
P000953118;2024-10-07;10110866;DR ERICH TRETTER GMBH & CO;GRUENEWM;GABLERC1;;C.32.02319.470.4;;C.32.02319.470.435.161;HIPMOM_BFDS HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;87.15;0.00;87.15;1;closed;MATERIAL LT. AG AN2500049;2024-10-11;EUR;87.15;EUR;capex;0;0.0;0.0.00-C;2025-10-20;R100857504;4510;;X20100000;PO1 FOR HIPMOM / DR.TRETTER / GRUENEWALD;;6164P000953118000001C3202319470435161
9110205862;2022-02-01;10369340;KONMED GMBH;RANKD;KULIKA2;1003964359;C.32.02319.470.0;;C.32.02319.470.035.161;HIPMOM_RAD HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;75.00;0.00;75.00;20;open;UNF-SCHRAUBE UNF1/4'-28G BLAU;2022-04-04;EUR;75.00;EUR;capex;0;0.0;0.0.00-C;2022-02-01;;4510;;X20100101;LOCAL PURCHASE ORDER0000000001 KULIKA2 0;;61649110205862000020C3202319470035161
P000791558;2024-06-13;10111333;SIEMENS AG;SCHAEFJ8;SCHAEFJ8;;C.32.02319.470.1;;C.32.02319.470.135.161;HIPMOM_LAL HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;560.00;0.00;560.00;2;open;FI/LS-SCHALTER 6 KA 1P+N TYP A 30 MA;2024-06-17;EUR;560.00;EUR;capex;0;0.0;0.0.00-C;2024-06-13;R100708410;4510;;X20000000;PO1 FOR SIEMENS LS/FI SCHALTER UWE HEMM;;6164P000791558000002C3202319470135161
9110194971;2021-09-27;10111042;VWR INTERNATIONAL GMBH;PROBSTA3;EICHNERJ;1003859244;C.32.02994.252.0;;C.32.02994.252.031.191;EQUIPMENT PROZESS;3253100576;DOZCB NUKLEOTIDES;3847.00;0.00;3847.00;1;open;CENP2P TROCKENSCHRANK OMH400 396L;2022-02-22;EUR;3847.00;EUR;capex;3;3.1;3.1.19-C;2022-06-09;;4511;;X15100102;CENP2P TROCKENSCHRANK OMH400 396L;;61649110194971000001C3202994252031191
6000479659;2018-09-21;10130963;IB FEY INGENIEURBUERO FUER BAUWESEN;MATSCHLK;SPRUNGS;;C.32.01691.001.0;;C.32.01691.001.062.241;EXTERN BAUKOORDINATOR;3251601991;GEB.991 LABORGEB MUC;33266.63;0.00;33266.63;20;open;LEMP/LAB 2.OG HS B OBERBAUKOORD. TEIL 1;2018-12-31;EUR;33266.63;EUR;capex;6;6.2;6.2.24-C;2018-10-05;3103284257;4511;;X20250200;;;61646000479659000020C3201691001062241
P000444024;2023-10-17;10441785;CANDEX SOLUTIONS GERMANY GMBH;ELHARIRA;SVANET;;C.32.03666.400.2;;C.32.03666.400.200.100;B-EQUIPMENT;3253100214;DOZ MANAGEMENT;4542.27;0.00;4542.27;1;open;BCAP_B-EQUIPMENT_RÜHRWAAGE (GRAVITECH@T-ONLINE.DE);2023-10-17;EUR;4542.27;EUR;capex;0;0.0;0.0.00-C;2023-10-17;R100383246;4511;2021000843;X15100101;PO1 FOR BCAP B-EQUIPMENT RÜHRWAAGE;;6164P000444024000001C3203666400200100
P000857498;2024-07-31;10425205;APC LTD;MILICJ1;SVANET;;C.32.03666.300.1;;C.32.03666.300.100.030;CRYSTALLIZATION DRYING&SOLID-LIQUID-SEP;3253100214;DOZ MANAGEMENT;43250.00;0.00;43250.00;4;open;1. NT BCAP SCOPE CHANGES;2025-06-01;EUR;43250.00;EUR;capex;0;0.0;0.0.00-C;2025-07-14;;4511;;X10050202;PO1 FOR BCAP OPTIMISATION OF PURIFICATION;;6164P000857498000004C3203666300100030
P000418739;2023-09-27;10522442;WESSLING CONSULTING ENGINEERING;TEAGARDD;GABLERC1;;C.32.02835.360.0;;C.32.02835.360.062.219;MA 21 EXT PLANNING OPEX;3253510400;DOM NMPA READIN PREP;20668.00;0.00;20668.00;1;open;GUTACHTERTÄTIGKEITEN PROJEKT NMPAM MA21 ANGEBOT EMA-0178-2-2;2024-09-30;EUR;20668.00;EUR;capex;6;6.2;6.2.21-O;2025-11-19;R100357099;4510;;X20000000;PO1 FOR NMPAM MA21 / WESSLING / TEAGARDEN;;6164P000418739000001C3202835360062219
6000490192;2018-10-16;10117953;ORTNER ANLAGENTECHNIK GMBH HEIZUNG;ALBRECM7;BELOKUE1;;C.32.01708.444.0;;C.32.01708.444.062.171;TGA EXTERN;3253510372;DOZC GEN. MFG COST;53223.75;0.00;53223.75;50;open;2. NA PPIMP/TG611 PLANUNG TGA CRS BD;2019-05-31;EUR;53223.75;EUR;capex;6;6.2;6.2.17-C;2019-05-23;3147595979;4511;;X20250200;;;61646000490192000050C3201708444062171
2110730034;2018-06-26;10001084;VWR INTERNATIONAL GMBH;SCHROA16;SCHROA16;1002741622;C.32.00048.442.0;;C.32.00048.442.073.151;MUSTER MATERIALPRÜFUNGEN;3253100214;DOZ MANAGEMENT;124.74;0.00;124.74;3;open;FLASCHE WEITHALS MATERIAL: PE-LD INHA;2018-06-27;EUR;124.74;EUR;capex;7;7.3;7.3.15-C;2018-06-26;;4511;;X15150107;IMMP LABORZUBEHÖR;;61642110730034000003C3200048442073151
9110159074;2020-05-28;10119586;HELDELE GMBH;GERGM2;EICHNERJ;1003417669;C.32.01710.672.0;;C.32.01710.672.024.101;ELEKTRO/GLT;3253510373;DOZB GEN. MFG COST 2;193221.62;0.00;193221.62;2;open;3ECFP GEB.672 ELT;2021-05-31;EUR;193221.62;EUR;capex;2;2.4;2.4.10-C;2022-01-12;;4511;;X20050401;3ECFP ELT;;61649110159074000002C3201710672024101
P001095358;2025-01-09;10112378;LANDRATSAMT WEILHEIM-SCHONGAU;JUNGFLEK;HILLMANB;;C.32.03069.900.0;;C.32.03069.900.071.101;BEWILLIGUNGEN GEBÜHREN;3251100028;DAMPF PZ;48403.11;0.00;48403.11;1;open;COSP | LRA BIMSCHG-ANZEIGE GEBÜHRENBESCHEID LT. KOSTENRECHNU;2025-01-13;EUR;48403.11;EUR;capex;7;7.1;7.1.10-C;2025-01-09;R100989703;4511;;X85150100;PO1 FOR COSP | LRA BIMSCHG-ANZEIGE GEBÜHRENBESCHEID;;6164P001095358000001C3203069900071101
9110210234;2022-03-22;10118034;PROFIL MASCHINENBAU GMBH;GABLERC1;GABLERC1;1004027912;C.32.02319.470.2;;C.32.02319.470.235.161;HIPMOM_PP HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;1465.00;0.00;1465.00;1;open;TM-AUSSCHUSS-BEHÄLTER_KPL;2022-05-05;EUR;1465.00;EUR;capex;0;0.0;0.0.00-C;2022-03-22;;4510;;X20100200;BAUERF12 HIPMOM / PROFIL;;61649110210234000001C3202319470235161
9110166507;2020-09-28;10117953;ORTNER ANLAGENTECHNIK GMBH HEIZUNG;PHILIPP7;GEIGERC6;1003531665;C.32.00727.560.0;;C.32.00727.560.020.001;HLKKS;3251601561;GEB. 561 HOCHREGALLAGER;44604.35;0.00;44604.35;1;open;ERWEITERUNG LÜFTUNG E100 & 200;2021-01-04;EUR;44604.35;EUR;capex;0;0.0;0.0.00-C;2021-02-22;;4511;;X20050500;ERWEITERUNG LÜFTUNG E100 & 200;;61649110166507000001C3200727560020001
P000841896;2024-07-18;10368414;ABCAM NETHERLANDS BV;JOKISCHM;JOKISCHM;;C.32.03666.400.1;;C.32.03666.400.100.010;NATREC - ATEX;3253100587;DOZTD MSAT DESIGN TRANSFER LABOUR;990.00;0.00;990.00;1;closed;OXALATE OXIDASE ASSAY KIT;2024-07-18;EUR;990.00;EUR;capex;0;0.0;0.0.00-C;2024-08-23;R100754421;4510;;X15050101;PO1 FOR OXOD ASSAY ABCAM 2X;;6164P000841896000001C3203666400100010
2111278898;2023-03-08;10110021;HOFFMANN GMBH;STADLEC3;STADLEC3;1004291386;C.32.02927.253.0;;C.32.02927.253.036.101;LABORGERÄTE;3253510373;DOZB GEN. MFG COST 2;25.83;0.00;25.83;3;open;LOCHSCHNEIDER HM FLACH 45 MM;2023-03-10;EUR;25.83;EUR;capex;3;3.6;3.6.10-C;2023-03-08;;4511;;X20100200;STADLEC3 08.03.2023 09:53:48;;61642111278898000003C3202927253036101
P001255245;2025-04-03;10112378;LANDRATSAMT WEILHEIM-SCHONGAU;ANNENKA1;LAUTENBL;;C.32.02347.900.0;;C.32.02347.900.071.101;BEWILLIGUNGEN & GEBÜHREN;3251100023;LEITUNG VER- U. ENTSORGUNG;3165.05;0.00;3165.05;1;open;IESGP | STAT. BERECHNUNG NEA;2025-04-03;EUR;3165.05;EUR;capex;7;7.1;7.1.10-C;2025-08-05;R101112486;4511;;X85150100;PO1 FOR IESGP | STAT. BERECHNUNG NEA;;6164P001255245000001C3202347900071101
9110185457;2021-05-28;10119529;BRANDSCHUTZ ANDRAE MATTHIAS ANDRAE;AIGNERA1;HILLMANB;1003758700;C.32.01691.004.0;;C.32.01691.004.036.119;BÜROEINRICHTUNG (KST);3251601991;GEB.991 LABORGEB MUC;77.40;0.00;77.40;3;open;LEMP-MONTAGE FEUERLÖSCHER;2021-06-10;EUR;77.40;EUR;capex;3;3.6;3.6.11-O;2021-05-28;;4511;;X25050700;LEMP-ÄNDERUNG-NEULÖSCHER;;61649110185457000003C3201691004036119
2110925593;2020-01-28;10118889;PETERSTALER MINERALQUELLEN GMBH;GABLERC1;GABLERC1;1003316617;C.32.00700.470.0;;C.32.00700.470.074.100;ECESRM-REISEKOSTEN/BEWIRTUNGEN INTERN;3253100035;DOMM MANAGEMENT;6.90;0.00;6.90;5;open;PREMIUM FRÜCHTE (20 BEUTEL);2020-01-30;EUR;6.90;EUR;capex;7;7.4;7.4.10-O;2020-01-28;;4510;;X30250200;GABLERC1 28.01.2020 07:41:07;;61642110925593000005C3200700470074100
9110231385;2023-03-21;10119310;SMB INDUSTRIES GMBH;BERGMAS5;EICHNERJ;;C.32.03391.252.0;;C.32.03391.252.044.181;PROZESSAUTOMATION;3253100214;DOZ MANAGEMENT;3238.79;0.00;3238.79;4;open;LS761P NA02 CR020 AUSTAUSCH NAOH REGELVE;2024-06-29;EUR;3238.79;EUR;capex;4;4.4;4.4.18-C;2024-03-28;;4511;;X20150500;LS761P ROHRLEITUNGSMONTAGE;;61649110231385000004C3203391252044181
P000936292;2024-09-24;10113294;NEUBERGER GEBAEUDEAUTOMATION GMBH;HOHREINA;GABLERC1;;C.32.02319.470.0;;C.32.02319.470.041.181;HIPMOM_ALLGEMEINE INSTALLATIONSKOSTEN;3253100613;MFG MA - BUSINESS SUPPORT;3212.49;0.00;3212.49;1;open;NACHRÜSTUNG STRÖMUNGSWÄCHTER GEB 470.1 2.OG ANGEBOT R24-031;2024-12-31;EUR;3212.49;EUR;capex;4;4.1;4.1.18-C;2024-09-24;R100841778;4510;;X20150000;PO1 FOR HIPMOM / NEUBERGER / HOHREIN;;6164P000936292000001C3202319470041181
2110986593;2020-08-07;10110021;HOFFMANN GMBH;KRAFTA2;KRAFTA2;1003487899;C.32.00727.560.0;;C.32.00727.560.037.121;LAGERSYSTEM IT;3251601561;GEB. 561 HOCHREGALLAGER;51.13;0.00;51.13;1;open;ZANGENSORTIMENT 4-TEILIG VDE-ISOLIERT 4;2020-08-10;EUR;51.13;EUR;capex;3;3.7;3.7.12-C;2020-08-07;;4511;;X20100200;KRAFTA2 07.08.2020 11:39:56;;61642110986593000001C3200727560037121
2111257722;2022-11-30;10110016;MERCK CHEMICALS GMBH;MUELLA21;MUELLA21;1004226554;C.32.03666.400.3;;C.32.03666.400.300.100;B-CONSUMABLES;3253100214;DOZ MANAGEMENT;40.50;0.00;40.50;1;open;SULFURIC ACID 95-97%;2023-02-15;EUR;40.50;EUR;capex;0;0.0;0.0.00-O;2022-12-15;;4511;;X15050101;MUELLA21 30.11.2022 13:06:13;;61642111257722000001C3203666400300100
P001601085;2025-11-25;10114688;GHMT AG;KIESLINR;ANNENKA1;;C.32.02275.131.0;;C.32.02275.131.024.151;MEDIENTECHNIK;3251601131;GEB. 131 LEAP OFFICE;15450.30;0.00;15450.30;1;open;LEAP | WLAN ABNAHMEMESSUNG;2026-01-30;EUR;15450.30;EUR;capex;2;2.4;2.4.15-C;2025-11-25;R101419895;4511;;X40150000;PO1 FOR LEAP | WLAN ABNAHMEMESSUNG;;6164P001601085000001C3202275131024151
2110890814;2019-10-15;10110300;GETRAENKE GLASL GMBH;ROTHERK1;ROTHERK1;1003209799;C.32.01618.444.0;;C.32.01618.444.073.129;ALLG. PROJEKTKOSTEN;3253100214;DOZ MANAGEMENT;116.50;0.00;116.50;2;open;CAFE CREMA;2019-10-21;EUR;116.50;EUR;capex;7;7.3;7.3.12-O;2019-10-15;;4511;;X30250200;ROTHERMEL BESTELLUNG GEB. 333;;61642110890814000002C3201618444073129
9110227165;2022-12-07;10112049;HOCK INGENIEUR CONSULTING;HILLMANB;EICHNERJ;1004232857;C.32.01618.444.0;;C.32.01618.444.022.201;ANPASSUNGEN GEBÄUDE (STRUKTUR);3253100214;DOZ MANAGEMENT;1845.00;0.00;1845.00;1;open;EBP2P/ BA800 RIWA GIS UPDATE;2023-05-30;EUR;1845.00;EUR;capex;2;2.2;2.2.20-C;2023-08-25;;4511;;X20250301;EBP2P/ BA800 RIWA GIS UPDATE;;61649110227165000001C3201618444022201
6000635188;2019-09-26;10118706;DIPL. ING. (FH) NORBERT THIEL;FISCHA26;SPRUNGS;;C.32.01618.444.0;;C.32.01618.444.071.101;BEWILLIGUNGEN GEBÜHREN;3253100214;DOZ MANAGEMENT;1680.00;0.00;1680.00;10;open;EBP2P/BA710 PRÜF. BRANDSCHUTZNACHWEIS;2019-11-29;EUR;1680.00;EUR;capex;7;7.1;7.1.10-C;2019-09-26;3170186691;4511;;X25050700;;;61646000635188000010C3201618444071101
9110170142;2020-11-12;10111330;MICHAEL ZIRNGIBL GMBH;STURMS3;EICHNERJ;;C.32.01618.444.1;;C.32.01618.444.122.881;SGTRH;3253100214;DOZ MANAGEMENT;8008.56;0.00;8008.56;8;closed;3.NT EBP2P/BA400 ANPASS. ROHRBR. NA10;;EUR;8008.56;EUR;capex;0;0.0;0.0.00-C;2021-09-09;;4511;;X20050300;EBP2P/PPIMP FENSTER+TÜREN TREPPENHAUS;;61649110170142000008C3201618444122881
P000591034;2024-01-31;10108903;FUEGER FACHHANDEL GMBH;GEIGERA8;SPECKEA1;;C.32.02394.444.0;;C.32.02394.444.031.191;EQUIPMENT UND ERSTAUSTATTUNG PROZESS;3253100607;DOZCD LABOUR;45.00;0.00;45.00;6;closed;KAMLOCK-STECKER MIT INNENGEWINDE TYP A  3/4'IG DN20 EDELSTAH;2024-02-16;EUR;45.00;EUR;capex;3;3.1;3.1.19-C;2025-05-27;R100520484;4511;;X20100000;PO1 FOR KAMLOCK VERSCHRAUBUNGEN VERSCHIEDENE GRÖßEN;;6164P000591034000006C3202394444031191
P001640474;2025-12-18;10108973;THERMO ELECTRON LED GMBH;PRIBILJ;HILLMANB;;C.32.04118.430.0;;C.32.04118.430.036.111;BENCH-TOP GERÄTE;3253100609;DOZCC SBX;2623.50;0.00;2623.50;4;open;75003674 BIOLINER ADAPTER 4ST 10 X 50 ML KONISCH;2026-05-11;EUR;2623.50;EUR;capex;3;3.6;3.6.11-C;2025-12-18;R101459335;4511;;X15100101;PO1 FOR SBXRRP - ZENTRIFUGEN;;6164P001640474000004C3204118430036111
P000473136;2023-11-07;10117953;ORTNER ANLAGENTECHNIK GMBH HEIZUNG;TAEUBERS;SPECKEA1;;C.32.02394.444.0;;C.32.02394.444.031.191;EQUIPMENT UND ERSTAUSTATTUNG PROZESS;3253100214;DOZ MANAGEMENT;32588.18;0.00;32588.18;1;open;444 LIEFERUNG VON ERSATZDICHTUNGEN LIEFERUNG VON ERSATZDICHT;2023-11-30;EUR;32588.18;EUR;capex;3;3.1;3.1.19-C;2023-11-07;R100403681;4511;MA00569520;X20050900;PO1 FOR 444 LIEFERUNG VON ERSATZDICHTUNGEN;;6164P000473136000001C3202394444031191
P001390295;2025-07-10;10112199;MAYR EDELSTAHL- &;HECHLERA;GOLDBRUM;;C.32.05433.900.0;;C.32.05433.900.022.129;MONTAGEBAU STAHL (OPEX);3253510373;DOZB GEN. MFG COST 2;105347.79;0.00;105347.79;1;open;G341/E200 SCHLOSSERARBEITEN - EDELSTAHLBODEN  LT. ANGEBOT NR;2026-03-31;EUR;105347.79;EUR;capex;2;2.2;2.2.12-O;2025-07-10;R101235738;4511;;X20050200;PO1 FOR MAYREDEL A25-1101 HECHLER;;6164P001390295000001C3205433900022129
P000871808;2024-08-08;10426806;DREES + SOMMER SE;WEITTENH;SVANET;;C.32.04794.900.0;;C.32.04794.900.062.131;EXTERN PM & SERVICE;3253510335;DOZB GEN. MFG COST;27720.00;0.00;27720.00;2;closed;1.NT SASE1P UNTERSTÜTZUNG CONTROLLING CD-PHASE;;EUR;27720.00;EUR;capex;6;6.2;6.2.13-C;2024-11-28;;4511;MA00886224;X20250000;PO1 FOR RASE1P PROJEKTINITIIERUN DRESO;;6164P000871808000002C3204794900062131
